"x","y","Woodland_name","2nd highest","central","2nd lowest"
"252500"," 62500.0","WW",160.049995,155.180011,146.758997
"277500"," 77500.0","YW",165.731643,156.854068,149.447634
"287500","142500.0","HW",178.971912,171.159646,162.028426
"292500","212500.0","NM",189.066983,179.07337,170.297253
"292500","262500.0","CE",190.791769,183.791167,173.036619
"292500","292500.0","LG",189.269899,180.493782,169.333402
"267500","337500.0","CL",188.71188,181.711278,171.108917
"347500","512500.0","NF",203.778393,198.046016,188.356777
"337500","517500.0","UO",207.887442,199.821531,190.893227
"327500","517500.0","BW",191.501975,185.008663,174.00047
"82500.","567500.0","BG",203.981309,201.90142,189.168441
"17500.","522500.0","LY",208.141087,203.321832,188.914796
"177500","687500.0","TW",200.37955,193.176032,180.696698
"202500","747500.0","GC",219.707299,212.453052,199.466428
"157500","737500.0","LB",220.011673,216.765017,203.017458
"182500","762500.0","AR",223.106142,215.547521,202.662355
"182500","872500.0","CM",225.439676,222.852497,204.539328
"217500","932500.0","AM",228.737061,223.410516,207.785984
