"x","y","Woodland_name","2nd highest","central","2nd lowest"
"252500"," 62500.0","WW",151.375336,140.823704,128.192183
"277500"," 77500.0","YW",149.904195,140.417872,126.721042
"287500","142500.0","HW",169.789963,158.122293,145.08494
"292500","212500.0","NM",174.761405,165.325811,151.527523
"292500","262500.0","CE",179.327015,168.978299,158.325209
"292500","292500.0","LG",178.768996,168.014448,157.615003
"267500","337500.0","CL",185.769598,171.97131,161.622594
"347500","512500.0","NF",197.893829,190.385937,178.616809
"337500","517500.0","UO",205.553908,194.748631,183.740438
"327500","517500.0","BW",185.16085,179.631389,169.688505
"82500.","567500.0","BG",193.023845,186.226159,175.775985
"17500.","522500.0","LY",204.843702,195.30665,187.849487
"177500","687500.0","TW",201.495588,192.618013,187.088552
"202500","747500.0","GC",222.142291,217.576681,208.546919
"157500","737500.0","LB",221.026253,216.917204,210.52535
"182500","762500.0","AR",222.142291,220.265318,209.662957
"182500","872500.0","CM",230.81695,225.896237,218.337616
"217500","932500.0","AM",235.839121,227.063004,224.22218
